Customer ID,Product ID,Review Date,Review Rating,Review Text
EFG345,MNOPQRSTUV,2023-07-09,4,Quite good met my expectations.
HJI678,QRSTUVWXZA,2023-07-08,5,Absolutely fantastic product.
JKL012,UVWXYZ1234,2023-07-07,1,Really poor very disappointed.
MNO345,ABCDEFGHIJ,2023-07-06,2,Not what I expected, wouldn't buy again.
PQR678,JKLMNOPQRS,2023-07-05,3,Average product nothing special.
STU901,QRSTUVWXZA,2023-07-04,4,Very good I like it.
VWY234,UVWXYZ1234,2023-07-03,2,Not very impressed expected better.
YZA567,ABCDEFJKLM,2023-07-02,5,Excellent very happy with it.
BCD890,KLMNOPQRST,2023-07-01,3,Works fine no issues so far.
DEF456,MNOPQRSTUV,2023-06-30,4,Good value for the money.
